tweet_text,sentiment_expected,sentiment_actual
"Samsung seeks iPhone 4S ban in Japan and Australia
Patent war intensifies with injunction sought against @Apple http://t.co/QmwjTvnk",negative,neutral
What I think about #AndroidIceCreamSandwich ? Thats the most delicious piece of sandwich ever. Get me it real fast #GOOGLE !,positive,neutral
"#Job #ICT System Engineer (m/w): planova human capital ag, Luzern http://t.co/2PJo4Dqr #Microsoft #IT",neutral,irrelevant
"SO IT'S BEEN A LOOONG MINUTE 
BUT #TWITTER, IM BACK 
& WITH A CLOTHING LINE!

#SWAGG",neutral,negative
@apple I committed to your cloud storage iDisk and now it's raining :-( so soon no more iDisk.  Any plans for a new service for storage?,negative,neutral
"Meet #Siri, your new iPhone butler. Click the link and be amazed by all it can do: http://t.co/lvfFdCEL @Apple",positive,neutral
@MisThang2u nope they wouldn't even let me & my mom switch @apple she has an upgrade mine isn't do til march,neutral,negative
RT @anup_pillai: How #Apple eclipsed #Microsoft | http://t.co/r6hNEtTu,negative,neutral
Lecture Notes in Financial Economics pdf ebook:  http://t.co/7gJQvEwN #google,negative,irrelevant
@AsimRang @apple @umber the desktop app is wack though,negative,neutral
"See @Apple, that what's happen when you release iPhone 4S with same crappy design as the old phone!",negative,neutral
Damn you @apple for breaking wififofum! It continued to work in ios 4. Was one of my most used apps. Damn Apple's overbearing policies!,negative,neutral
"@dryab Да, потому что только наш рынок любит #Microsoft ))",irrelevant,positive
"The fact that #Microsoft are using a #QRCode alongside one of their colour code shows the format is failing, opinions? http://t.co/BlhHGOpo",negative,neutral
"#Nokia workers ask, is chief executive a #Microsoft mole? http://t.co/lWJP9GiU",negative,neutral
"#Google When you perform texas hold em, do you have to use the 2 cards you are dealt? go through on?:... http://t.co/IR9F1IAb #wikileaks",irrelevant,neutral
Are you using #Google+ and #Linkedin yet? These are essential tools to get your company and/or you on the FIRST page of Google. Contact...,positive,neutral
According to a writer at @ExtremeTech #microsoft invented squared corners. Time for lawsuits! #moron,irrelevant,neutral
#DontBeMadAtMeBecause #Android is by far better than @Apple,negative,neutral
#microsoft #research shows #Holodesk. Awesome!!! The holodeck is one step closer! bit.ly/pCMJON #kinect /via @dvroegop,positive,neutral
Dear @apple please send me my Mac Book back surely the repair is done by now... Thanks!,negative,neutral
@Blackberry & @Facebook U R really about to make me throw this @Blackberry in the trash an get an @Apple iPhone! @Facebook upload issues!,positive,neutral
I'm so ready for Ice Cream Sandwich! #ICS #Nexus #Google #Android #SiriWho? http://t.co/Cjonncvk @GetGlue #Android,positive,neutral
Interesting bookcase..RT @VentureBeat: #Google releases an Infinite Digital Bookcase http://t.co/urxJixCe by @MeghanKel,positive,neutral
#Twitter is blowing me ; I can't see my retweets ;(,negative,neutral
"#Microsoft Engineer (VM Ware), 19/10/2011, #Vacatures, #Carrière.
http://t.co/Jct2ahOe

Bedrijfsprofiel: Microsoft Engineer 
 
Microsoft",irrelevant,neutral
"Karate kid, skittles and cranberry juice. Goodnight #twitter",neutral,positive
"@apple If you want to know what customers think dont send updates with the ""noreply"" return address. Who invented that anyway. #useless",negative,neutral
"How I manage my businesses/life: @pivotaltracker, @37signals, @twitter, @googleapps, @apple, @dropbox, @wordpress, @dreamhost THX",neutral,negative
"#Google начал ""масштабную зачистку"" сервисов http://t.co/1vRAuo8S",irrelevant,positive
"On a positive note, advanced control of your data usage is a really great idea ;) #google #nexus",positive,neutral
"Dear #Google, I want the Galaxy Nexus NOW. Please send it to me by email or something - I know you have the technology",positive,neutral
RT @shagorikah: Telegraph reports that the biggest threat to #facebook is its power users have shifted to #twitter or #google+ http://t. ...,positive,neutral
@learmonth @Cue improves iMessage + engages @Apple content partners' customers better http://t.co/hhkvlwFB with social activity messaging,neutral,negative
#Microsoft dishing out free first-gen WP7 handsets at its stores http://t.co/cvfWMvmO,positive,neutral
Nexus S รอกินไอศกรีมแซนวิช #google #android #ics,irrelevant,neutral
#Android ICS is looking pretty good. Not quite sure if its worth the 4.0 numbering leap. #google,positive,neutral
M'kiite #twitter Off,neutral,irrelevant
The new iOS5 completely failed at upgrading the phone. Now I'm stuck in this restore loop. Thanks @apple for wasting my day. Can i undo?,negative,neutral
Pretty big deal from #Samsung and #Google def can't wait to get my hands on the #GalaxyNexus and #ICS,positive,neutral
@kursed #Google is terrible at presentations. Hated the terrible camera interference from the huge screen behind the speakers. #headache,negative,neutral
"@vlingo is a POOR substitute for Siri!! Yo @APPLE, gimmie Siri!!!!",neutral,negative
@imightbewrong @apple @inthequeencity #teamapple,irrelevant,negative
"Not impressed much with the new Android update. But good signs: a readable font, emphasis on design, and less nerdiness. #google",positive,neutral
#motoactiv? Methinks @apple and maybe @Nike are already prepping lawsuits,neutral,negative
@rjpittman Why you won't use your @apple account.,neutral,negative
@Jerryfolio Bienvenido a #twitter,irrelevant,neutral
"Thanks to @Apple Covent Garden #GeniusBar for replacing my MacBook keyboard/cracked wristpad during my lunch break today, out of warranty.",positive,neutral
Ballmer Thinks You Have To Be A Computer Scientist To Use Android http://t.co/VKV2TBcj #tech #microsoft (i agree to some extent),positive,neutral
"Dear @Apple, I don't want the newsstand icon on my screen. #notcool",negative,neutral
Check out the new #Microsoft #faculty fellows here: http://t.co/GCicPEX4 poised to change the world!,positive,neutral
I like #twitter,positive,neutral
So im about to make another #twitter account since this one fucked up,negative,neutral
"RT @RossMistry: #Microsoft Codename ""Data Explorer"" CTP Coming Next Month  http://t.co/NkhuoM7U #SQLServer #SQL2012 #SQLAzure",neutral,positive
"Also @EricGreenspan, don't forget @Apple stop closing the app store after each bloody purchase...",negative,neutral
"""Samsung and Google have closely collaborated to push the mobile experience forward. We are pleased to ... http://t.co/ecT8fYIA #Google+",positive,neutral
This is kind of really creepy: Use your search engine the same way as @MileyCyrus would http://t.co/a050TG4L . . . #Microsoft,negative,neutral
www.google.com/googlenexus #google #android #icecreamsandwich #googlenexus,neutral,irrelevant
I just add my profile on the #Google+ WebGL Globe project. Add yours ! http://t.co/UWeYalKb via @AddThis,positive,neutral
#Google 跟 #Samsung 今天發佈使用 #Android 4.0 作業系統的 #Galaxy #Nexus … 接下來，蘋果及 #Microsoft 會告兩者侵權嗎？,irrelevant,neutral
facial recognition failed #IceCreamSandwich jajajajajajaj #FacialUnlock #samsumg #Google,negative,neutral
engineers #google Manny Marroquin #MannyMarroquin,neutral,irrelevant
#Google is the best invention ever!!,positive,neutral
[GReader Share] Five Reasons Why Google is Winning the War in Photosharing  http://t.co/coQCLb9R - #photography #fotografia #google+,positive,neutral
@MauroGarcia92 dale ok..!solo #twitter !!,neutral,irrelevant
Thanks again #microsoft for wasting more of my time. Apple&gt;windows http://t.co/GNy9G07B,negative,neutral
From my blog: ##changingdiapers Party #Summary & Winners List http://t.co/QfZHtNJs #twitter #upcomingparty,neutral,negative
#Android #Google Device Frame Generator Updated For Galaxy Nexus - Your Screenshots Just Got Prettier http://t.co/9bWt2W6z #DhilipSiva,positive,neutral
#TaskCentre XML Webservice Tool LinkedIn discussion. http://t.co/3GWw2CXU #SAPB1 #SalesLogix #Microsoft,irrelevant,positive
Incredible: 4 million iPhone 4Ss in 3 days. 135% better than the iPhone 4 http://t.co/1FMJxTMM @apple #iphone4s,positive,neutral
Screened by RepRisk – #Microsoft will undergo trial for its alleged anti-competitive practices @Microsoft,negative,neutral
#Twitter Off!,neutral,irrelevant
[News] Touchscreen auf allen Oberflächen... http://t.co/gpT4pTr0 #touchscreen #microsoft #omnitouch,irrelevant,neutral
WordPress Plugin - 2-Klicks-Button -... http://t.co/UjIvD1xu #2-Klicks-Button #Facebook #Google+ #Like #Socialshareprivacy #Twitter,neutral,irrelevant
Thanks Android for admitting you're ugly. New font is a good start! #ics #google,positive,neutral
"Slick beam capabilities included in Android 4.0. Touch 2 devices together and select ""Beam"" and content is transferred #Google #Android #ICS",positive,neutral
DAMN YOU !!! @apple,negative,neutral
Time to play a game called wait at the @apple store forever because the tourists are taking forever with their genius appointments.,negative,neutral
Time to go get my iPhone 4s.  Looking forward to sticking it to the man by no longer paying for most texts.  Thanks @apple.,positive,neutral
My #Twitter acting funnyyyyyyy....,negative,neutral
Anyone else seeing missing signal bars on their #iPhone 3GS with an upgrade to #iOS5? cc/ @applecanada @apple @forstall,negative,neutral
#Twitter OFF ☑,neutral,irrelevant
Pissed with whoever designs keyboards with @apple for not having a home and end key.  working on the CLI i use those keys often,negative,neutral
@OccupyWallSt #Apple stock DOWN despite #iPhone monumental SALES = #ocuupy #GOOGLE & #Verizon--i smell a #conspiracy!,neutral,positive
YESSS @apple fix it also slow internet RT @SprintFeed: iPhone 4S owners are you having trouble with Siri connecting to internet?,neutral,negative
今日発表だった＾ﾛ＾　 #Android4.0 #Google,irrelevant,neutral
"My iPhone 4S battery lasted longer than a day. That hasn't happened since my edge iPhone. Nice job, @apple.",positive,negative
"#Microsoft's #SteveBallmer attacks #Android phones ..... well #windows7mobile is gay, you metro! http://t.co/sQnE1iLb via @Telegraph",negative,neutral
"After a week or so with @Apple's #iOS5 I'm considering going back to #jailbroken 4.2 - same features as 5, plus more. Not as stable, though.",negative,neutral
If you didn't know - Free #Microsoft #HTML5 @Webcamps on West Coast MountainView Redmond Portland check them out  http://t.co/L86OWQRE,positive,neutral
i love my background!! #twitter,positive,neutral
Nokia employees still worried that Elop is a Microsoft mole http://t.co/n4Cpu3vj #microsoft #windows,negative,neutral
Official plush Portal turrets deploying this December http://t.co/M7h8Orkc #mac #microsoft #pc #playstation,irrelevant,neutral
#Twitter #NYERRR,neutral,irrelevant
"RT @guardiantech: How #Apple eclipsed #Microsoft http://t.co/GK6YjTFY &lt;- Microsoft's future is in the corporate world, not consumer",negative,neutral
"I Feel Like #Promoting Anyones #Twitter Page (♦MENTION ME IF YOU WANT TO GET #PROMOTED♦) [ #PromoteBack ]
#Followback",neutral,negative
It would have taken me 15 mins to write this with my #Blackberry. Thank u @Apple 4s for converting me and showing me the grass is greener!,positive,neutral
Very nice trivia game by #Google. Helps you use their search better http://t.co/c5Tu3dZK #fb,positive,neutral
@Steelo254 yea! I pre-order through @apple and they sorry too just like #AT&T,negative,neutral
Why Google+ Has Uphill Battle Vs. Facebook: Sean Parker http://t.co/L8RSX1Yf #google,negative,neutral
